idx	label	predict	radius	correct	time
0	tensor([1], dtype=torch.int32)	1	0.8	1	0:00:58.499933
1	tensor([6], dtype=torch.int32)	6	0.533	1	0:00:58.132781
2	tensor([7], dtype=torch.int32)	7	0.8	1	0:00:58.166071
3	tensor([4], dtype=torch.int32)	4	0.8	1	0:00:58.033014
4	tensor([5], dtype=torch.int32)	5	0.8	1	0:00:58.133246
5	tensor([4], dtype=torch.int32)	4	0.286	1	0:00:58.099458
6	tensor([2], dtype=torch.int32)	2	0.8	1	0:00:58.089642
7	tensor([2], dtype=torch.int32)	2	0.8	1	0:00:57.941899
8	tensor([7], dtype=torch.int32)	6	0.397	0	0:00:58.033252
9	tensor([3], dtype=torch.int32)	4	0.499	0	0:00:58.066357
10	tensor([6], dtype=torch.int32)	6	0.8	1	0:00:58.059662
11	tensor([2], dtype=torch.int32)	2	0.408	1	0:00:58.200700
12	tensor([3], dtype=torch.int32)	6	0.441	0	0:00:58.109655
13	tensor([0], dtype=torch.int32)	0	0.8	1	0:00:58.167723
14	tensor([5], dtype=torch.int32)	5	0.8	1	0:00:58.156239
15	tensor([3], dtype=torch.int32)	3	0.0898	1	0:00:58.165618
16	tensor([4], dtype=torch.int32)	7	0.0805	0	0:00:58.316620
17	tensor([2], dtype=torch.int32)	2	0.8	1	0:00:58.266422
18	tensor([6], dtype=torch.int32)	6	0.8	1	0:00:58.292154
19	tensor([0], dtype=torch.int32)	0	0.743	1	0:00:58.243094
20	tensor([2], dtype=torch.int32)	6	0.613	0	0:00:58.314898
21	tensor([8], dtype=torch.int32)	8	0.8	1	0:00:58.249627
22	tensor([9], dtype=torch.int32)	2	0.31	0	0:00:58.381053
23	tensor([0], dtype=torch.int32)	0	0.8	1	0:00:58.217447
24	tensor([1], dtype=torch.int32)	1	0.8	1	0:00:58.258241
25	tensor([2], dtype=torch.int32)	2	0.764	1	0:00:58.345474
26	tensor([5], dtype=torch.int32)	5	0.088	1	0:00:58.183683
27	tensor([2], dtype=torch.int32)	2	0.8	1	0:00:58.134556
28	tensor([9], dtype=torch.int32)	9	0.8	1	0:00:58.169932
29	tensor([4], dtype=torch.int32)	4	0.753	1	0:00:58.140962
30	tensor([1], dtype=torch.int32)	4	0.258	0	0:00:58.199630
31	tensor([6], dtype=torch.int32)	6	0.144	1	0:00:58.083116
32	tensor([4], dtype=torch.int32)	4	0.149	1	0:00:58.150110
33	tensor([5], dtype=torch.int32)	5	0.1	1	0:00:58.082599
34	tensor([9], dtype=torch.int32)	3	0.417	0	0:00:58.035182
35	tensor([6], dtype=torch.int32)	6	0.8	1	0:00:58.099887
36	tensor([9], dtype=torch.int32)	9	0.8	1	0:00:58.089830
37	tensor([3], dtype=torch.int32)	3	0.3	1	0:00:58.024753
38	tensor([6], dtype=torch.int32)	6	0.778	1	0:00:58.016218
39	tensor([4], dtype=torch.int32)	4	0.19	1	0:00:58.039822
40	tensor([8], dtype=torch.int32)	8	0.8	1	0:00:58.060721
41	tensor([4], dtype=torch.int32)	4	0.0589	1	0:00:58.108091
42	tensor([6], dtype=torch.int32)	8	0.137	0	0:00:58.058395
43	tensor([9], dtype=torch.int32)	3	0.143	0	0:00:58.083250
44	tensor([3], dtype=torch.int32)	3	0.295	1	0:00:58.071053
45	tensor([1], dtype=torch.int32)	1	0.8	1	0:00:58.064116
46	tensor([5], dtype=torch.int32)	4	0.743	0	0:00:58.030103
47	tensor([7], dtype=torch.int32)	6	0.335	0	0:00:58.098999
48	tensor([0], dtype=torch.int32)	0	0.735	1	0:00:58.466244
49	tensor([7], dtype=torch.int32)	7	0.475	1	0:00:58.385000
50	tensor([2], dtype=torch.int32)	2	0.8	1	0:00:58.331352
51	tensor([2], dtype=torch.int32)	2	0.462	1	0:00:58.450759
