idx	label	predict	radius	correct	time
0	tensor([5], dtype=torch.int32)	5	0.462	1	0:00:27.865922
1	tensor([12], dtype=torch.int32)	-1	0.0	0	0:00:34.531155
2	tensor([6], dtype=torch.int32)	6	0.616	1	0:00:33.972141
3	tensor([14], dtype=torch.int32)	14	0.616	1	0:00:33.366776
4	tensor([6], dtype=torch.int32)	6	0.0862	1	0:00:33.189981
5	tensor([13], dtype=torch.int32)	13	0.616	1	0:00:33.114117
6	tensor([11], dtype=torch.int32)	11	0.534	1	0:00:33.520149
7	tensor([14], dtype=torch.int32)	14	0.616	1	0:00:33.599034
8	tensor([9], dtype=torch.int32)	9	0.616	1	0:00:33.471006
9	tensor([9], dtype=torch.int32)	9	0.266	1	0:00:33.413360
10	tensor([6], dtype=torch.int32)	4	0.616	0	0:00:33.386668
11	tensor([10], dtype=torch.int32)	10	0.36	1	0:00:33.130077
12	tensor([12], dtype=torch.int32)	8	0.616	0	0:00:32.998508
13	tensor([10], dtype=torch.int32)	1	0.112	0	0:00:34.000119
14	tensor([7], dtype=torch.int32)	-1	0.0	0	0:00:41.526583
15	tensor([8], dtype=torch.int32)	8	0.462	1	0:02:20.980245
16	tensor([14], dtype=torch.int32)	14	0.027	1	0:02:08.395315
17	tensor([5], dtype=torch.int32)	12	0.337	0	0:02:08.352605
18	tensor([7], dtype=torch.int32)	1	0.616	0	0:02:08.804921
19	tensor([5], dtype=torch.int32)	8	0.211	0	0:02:07.999096
20	tensor([7], dtype=torch.int32)	7	0.284	1	0:02:09.312143
21	tensor([6], dtype=torch.int32)	6	0.616	1	0:02:01.781064
22	tensor([11], dtype=torch.int32)	2	0.495	0	0:01:32.298306
23	tensor([7], dtype=torch.int32)	7	0.616	1	0:01:31.699905
24	tensor([9], dtype=torch.int32)	9	0.589	1	0:01:36.722059
25	tensor([9], dtype=torch.int32)	6	0.0547	0	0:01:29.473322
26	tensor([10], dtype=torch.int32)	16	0.433	0	0:09:16.192630
27	tensor([12], dtype=torch.int32)	12	0.589	1	0:06:25.572287
28	tensor([12], dtype=torch.int32)	12	0.616	1	0:09:28.046484
29	tensor([13], dtype=torch.int32)	13	0.616	1	0:05:47.083423
30	tensor([10], dtype=torch.int32)	10	0.344	1	0:04:53.082664
31	tensor([5], dtype=torch.int32)	5	0.524	1	0:10:01.994527
32	tensor([12], dtype=torch.int32)	12	0.212	1	0:03:26.578533
33	tensor([11], dtype=torch.int32)	2	0.534	0	0:04:02.128219
34	tensor([6], dtype=torch.int32)	6	0.616	1	0:06:32.708167
35	tensor([5], dtype=torch.int32)	6	0.616	0	0:05:08.267498
36	tensor([10], dtype=torch.int32)	6	0.0105	0	0:07:11.224114
37	tensor([5], dtype=torch.int32)	5	0.229	1	0:06:00.158463
38	tensor([10], dtype=torch.int32)	6	0.27	0	0:04:37.866097
39	tensor([10], dtype=torch.int32)	10	0.616	1	0:04:25.674746
40	tensor([12], dtype=torch.int32)	12	0.616	1	0:05:32.199672
41	tensor([13], dtype=torch.int32)	13	0.616	1	0:05:50.175810
42	tensor([8], dtype=torch.int32)	8	0.0547	1	0:10:09.466341
43	tensor([13], dtype=torch.int32)	13	0.477	1	0:04:47.369017
44	tensor([5], dtype=torch.int32)	-1	0.0	0	0:14:27.323062
45	tensor([11], dtype=torch.int32)	11	0.616	1	0:04:33.680408
46	tensor([11], dtype=torch.int32)	2	0.616	0	0:06:23.542075
47	tensor([5], dtype=torch.int32)	12	0.167	0	0:04:45.977123
48	tensor([14], dtype=torch.int32)	6	0.571	0	0:04:19.344849
49	tensor([11], dtype=torch.int32)	11	0.616	1	0:05:08.199457
50	tensor([7], dtype=torch.int32)	7	0.516	1	0:05:02.780353
51	tensor([9], dtype=torch.int32)	7	0.013	0	0:06:12.902063
52	tensor([6], dtype=torch.int32)	6	0.0508	1	0:06:15.190654
53	tensor([6], dtype=torch.int32)	6	0.557	1	0:05:53.168175
54	tensor([8], dtype=torch.int32)	8	0.616	1	0:05:23.112352
55	tensor([14], dtype=torch.int32)	7	0.616	0	0:07:22.144516
56	tensor([5], dtype=torch.int32)	18	0.285	0	0:06:04.019024
57	tensor([8], dtype=torch.int32)	8	0.616	1	0:06:25.877364
58	tensor([6], dtype=torch.int32)	6	0.616	1	0:08:52.478381
59	tensor([12], dtype=torch.int32)	12	0.616	1	0:05:24.893523
60	tensor([8], dtype=torch.int32)	8	0.616	1	0:07:06.046518
