idx	label	predict	correct	time
0	tensor([5], dtype=torch.int32)	4	0	0:00:58.194093
1	tensor([0], dtype=torch.int32)	6	0	0:01:53.405535
2	tensor([1], dtype=torch.int32)	1	1	0:04:06.957509
3	tensor([4], dtype=torch.int32)	4	1	0:01:51.007201
4	tensor([8], dtype=torch.int32)	8	1	0:03:57.625792
5	tensor([1], dtype=torch.int32)	1	1	0:03:14.481527
6	tensor([1], dtype=torch.int32)	1	1	0:02:42.683058
7	tensor([2], dtype=torch.int32)	2	1	0:04:37.883822
8	tensor([5], dtype=torch.int32)	5	1	0:05:13.297637
9	tensor([9], dtype=torch.int32)	9	1	0:02:17.912526
10	tensor([0], dtype=torch.int32)	0	1	0:02:05.360912
11	tensor([7], dtype=torch.int32)	7	1	0:02:49.871805
12	tensor([5], dtype=torch.int32)	5	1	0:02:44.069250
13	tensor([8], dtype=torch.int32)	8	1	0:02:37.765980
14	tensor([5], dtype=torch.int32)	6	0	0:02:24.482448
15	tensor([7], dtype=torch.int32)	7	1	0:06:46.146195
16	tensor([2], dtype=torch.int32)	2	1	0:03:25.663384
17	tensor([3], dtype=torch.int32)	4	0	0:04:11.688415
18	tensor([6], dtype=torch.int32)	6	1	0:02:07.729961
19	tensor([8], dtype=torch.int32)	8	1	0:06:07.517136
20	tensor([2], dtype=torch.int32)	1	0	0:01:30.286922
21	tensor([4], dtype=torch.int32)	-1	0	0:01:26.881923
22	tensor([7], dtype=torch.int32)	7	1	0:03:04.040638
23	tensor([5], dtype=torch.int32)	5	1	0:01:38.443094
24	tensor([3], dtype=torch.int32)	3	1	0:02:09.042778
25	tensor([8], dtype=torch.int32)	8	1	0:02:53.869659
26	tensor([5], dtype=torch.int32)	5	1	0:02:16.140877
27	tensor([2], dtype=torch.int32)	2	1	0:02:34.482222
28	tensor([1], dtype=torch.int32)	1	1	0:02:09.470389
29	tensor([5], dtype=torch.int32)	5	1	0:03:16.366503
30	tensor([4], dtype=torch.int32)	-1	0	0:01:14.353134
31	tensor([1], dtype=torch.int32)	1	1	0:03:40.248452
32	tensor([4], dtype=torch.int32)	2	0	0:01:30.637038
33	tensor([5], dtype=torch.int32)	-1	0	0:03:31.539354
34	tensor([8], dtype=torch.int32)	8	1	0:04:37.582174
35	tensor([0], dtype=torch.int32)	0	1	0:02:40.387164
36	tensor([3], dtype=torch.int32)	3	1	0:02:23.393194
37	tensor([7], dtype=torch.int32)	7	1	0:05:28.669271
38	tensor([5], dtype=torch.int32)	9	0	0:03:28.030675
39	tensor([5], dtype=torch.int32)	5	1	0:01:39.902399
40	tensor([6], dtype=torch.int32)	6	1	0:05:41.868814
41	tensor([2], dtype=torch.int32)	-1	0	0:02:01.124450
42	tensor([9], dtype=torch.int32)	2	0	0:02:54.855012
43	tensor([5], dtype=torch.int32)	5	1	0:02:05.528000
44	tensor([6], dtype=torch.int32)	6	1	0:06:20.385962
45	tensor([8], dtype=torch.int32)	8	1	0:02:47.859690
46	tensor([2], dtype=torch.int32)	2	1	0:03:55.711228
47	tensor([4], dtype=torch.int32)	3	0	0:02:27.742438
48	tensor([0], dtype=torch.int32)	1	0	0:03:03.380584
49	tensor([8], dtype=torch.int32)	6	0	0:02:38.092793
50	tensor([8], dtype=torch.int32)	8	1	0:01:57.782068
51	tensor([5], dtype=torch.int32)	5	1	0:02:39.395332
52	tensor([3], dtype=torch.int32)	3	1	0:01:10.822725
53	tensor([4], dtype=torch.int32)	4	1	0:01:13.447270
54	tensor([6], dtype=torch.int32)	6	1	0:03:29.224932
55	tensor([9], dtype=torch.int32)	6	0	0:02:35.340431
56	tensor([2], dtype=torch.int32)	7	0	0:02:46.201910
57	tensor([0], dtype=torch.int32)	0	1	0:04:29.327039
58	tensor([2], dtype=torch.int32)	2	1	0:02:52.391334
59	tensor([8], dtype=torch.int32)	8	1	0:05:19.648214
60	tensor([7], dtype=torch.int32)	-1	0	0:04:33.565288
61	tensor([3], dtype=torch.int32)	3	1	0:02:20.607108
62	tensor([3], dtype=torch.int32)	3	1	0:03:13.502789
63	tensor([9], dtype=torch.int32)	9	1	0:03:42.248178
64	tensor([9], dtype=torch.int32)	9	1	0:03:49.888706
65	tensor([6], dtype=torch.int32)	8	0	0:04:10.793822
66	tensor([4], dtype=torch.int32)	4	1	0:04:00.154572
67	tensor([2], dtype=torch.int32)	2	1	0:04:31.483682
68	tensor([3], dtype=torch.int32)	6	0	0:05:18.385288
69	tensor([2], dtype=torch.int32)	2	1	0:08:32.201631
70	tensor([2], dtype=torch.int32)	2	1	0:03:05.085314
71	tensor([9], dtype=torch.int32)	7	0	0:08:12.455605
72	tensor([5], dtype=torch.int32)	5	1	0:01:22.045071
73	tensor([0], dtype=torch.int32)	0	1	0:01:12.511345
74	tensor([4], dtype=torch.int32)	-1	0	0:02:10.517650
75	tensor([0], dtype=torch.int32)	0	1	0:02:03.313589
76	tensor([0], dtype=torch.int32)	0	1	0:02:19.403739
77	tensor([0], dtype=torch.int32)	0	1	0:02:03.002096
78	tensor([6], dtype=torch.int32)	6	1	0:01:40.971521
79	tensor([6], dtype=torch.int32)	7	0	0:02:12.809301
80	tensor([6], dtype=torch.int32)	6	1	0:02:23.081612
81	tensor([7], dtype=torch.int32)	7	1	0:18:14.852898
82	tensor([1], dtype=torch.int32)	4	0	0:01:42.192822
83	tensor([3], dtype=torch.int32)	3	1	0:01:44.058958
84	tensor([7], dtype=torch.int32)	7	1	0:04:11.448136
85	tensor([1], dtype=torch.int32)	1	1	0:03:56.610648
86	tensor([8], dtype=torch.int32)	8	1	0:02:45.175549
87	tensor([2], dtype=torch.int32)	8	0	0:02:24.921952
88	tensor([5], dtype=torch.int32)	6	0	0:02:42.037741
89	tensor([8], dtype=torch.int32)	8	1	0:02:40.947497
90	tensor([8], dtype=torch.int32)	8	1	0:04:14.908871
91	tensor([6], dtype=torch.int32)	6	1	0:08:09.130300
92	tensor([4], dtype=torch.int32)	4	1	0:04:23.647576
93	tensor([8], dtype=torch.int32)	8	1	0:05:59.980879
94	tensor([3], dtype=torch.int32)	3	1	0:01:48.913608
95	tensor([2], dtype=torch.int32)	2	1	0:06:33.395870
96	tensor([3], dtype=torch.int32)	3	1	0:04:20.232538
97	tensor([9], dtype=torch.int32)	9	1	0:09:57.509048
98	tensor([1], dtype=torch.int32)	1	1	0:01:46.263213
99	tensor([2], dtype=torch.int32)	2	1	0:02:15.462988
100	tensor([5], dtype=torch.int32)	5	1	0:01:41.416744
101	tensor([5], dtype=torch.int32)	1	0	0:03:18.883701
102	tensor([0], dtype=torch.int32)	0	1	0:02:11.769661
103	tensor([2], dtype=torch.int32)	2	1	0:02:30.594677
104	tensor([6], dtype=torch.int32)	6	1	0:02:31.255154
105	tensor([6], dtype=torch.int32)	6	1	0:02:31.832765
106	tensor([8], dtype=torch.int32)	8	1	0:02:31.282528
107	tensor([1], dtype=torch.int32)	1	1	0:02:31.173591
108	tensor([0], dtype=torch.int32)	0	1	0:02:31.238632
109	tensor([2], dtype=torch.int32)	2	1	0:02:31.020055
110	tensor([8], dtype=torch.int32)	8	1	0:02:31.095636
111	tensor([5], dtype=torch.int32)	9	0	0:02:30.813539
112	tensor([8], dtype=torch.int32)	8	1	0:02:31.270212
113	tensor([2], dtype=torch.int32)	2	1	0:02:31.670582
114	tensor([1], dtype=torch.int32)	1	1	0:02:30.748481
115	tensor([7], dtype=torch.int32)	7	1	0:02:31.002490
116	tensor([1], dtype=torch.int32)	1	1	0:02:28.149907
117	tensor([9], dtype=torch.int32)	3	0	0:02:04.233366
118	tensor([6], dtype=torch.int32)	6	1	0:02:05.016300
119	tensor([3], dtype=torch.int32)	4	0	0:02:04.342880
120	tensor([6], dtype=torch.int32)	6	1	0:02:04.955387
121	tensor([3], dtype=torch.int32)	3	1	0:02:04.797484
122	tensor([6], dtype=torch.int32)	6	1	0:02:24.315720
123	tensor([3], dtype=torch.int32)	3	1	0:02:37.083810
124	tensor([8], dtype=torch.int32)	8	1	0:02:38.017384
125	tensor([2], dtype=torch.int32)	2	1	0:02:37.220858
126	tensor([1], dtype=torch.int32)	1	1	0:02:37.626382
127	tensor([3], dtype=torch.int32)	7	0	0:02:37.226169
128	tensor([9], dtype=torch.int32)	9	1	0:02:37.272732
129	tensor([7], dtype=torch.int32)	7	1	0:02:37.253591
130	tensor([5], dtype=torch.int32)	5	1	0:02:37.192307
131	tensor([3], dtype=torch.int32)	6	0	0:02:37.726250
132	tensor([1], dtype=torch.int32)	1	1	0:48:22.928089
133	tensor([5], dtype=torch.int32)	5	1	0:21:09.005114
134	tensor([4], dtype=torch.int32)	4	1	0:05:13.911098
135	tensor([1], dtype=torch.int32)	1	1	0:05:13.587126
136	tensor([3], dtype=torch.int32)	6	0	0:05:04.796484
137	tensor([1], dtype=torch.int32)	1	1	0:05:01.251309
138	tensor([5], dtype=torch.int32)	8	0	0:04:54.459446
139	tensor([9], dtype=torch.int32)	9	1	0:05:20.936902
140	tensor([9], dtype=torch.int32)	9	1	0:05:26.503308
141	tensor([8], dtype=torch.int32)	8	1	0:05:25.707936
142	tensor([3], dtype=torch.int32)	7	0	0:05:26.724234
143	tensor([4], dtype=torch.int32)	4	1	0:05:42.022541
144	tensor([4], dtype=torch.int32)	4	1	0:05:30.993885
145	tensor([9], dtype=torch.int32)	8	0	0:05:32.820242
146	tensor([8], dtype=torch.int32)	8	1	0:05:30.777142
147	tensor([6], dtype=torch.int32)	6	1	0:05:34.491323
148	tensor([3], dtype=torch.int32)	3	1	0:05:42.913987
149	tensor([1], dtype=torch.int32)	1	1	0:05:41.249255
150	tensor([4], dtype=torch.int32)	4	1	0:05:46.660417
151	tensor([4], dtype=torch.int32)	4	1	0:05:41.676889
152	tensor([2], dtype=torch.int32)	2	1	0:04:44.035303
153	tensor([1], dtype=torch.int32)	1	1	0:02:53.224200
154	tensor([8], dtype=torch.int32)	8	1	0:02:55.566985
155	tensor([7], dtype=torch.int32)	7	1	0:02:58.034703
156	tensor([8], dtype=torch.int32)	8	1	0:01:56.941864
157	tensor([1], dtype=torch.int32)	1	1	0:01:22.289614
158	tensor([4], dtype=torch.int32)	-1	0	0:01:20.899245
159	tensor([6], dtype=torch.int32)	6	1	0:01:19.506903
160	tensor([3], dtype=torch.int32)	8	0	0:01:19.524021
161	tensor([7], dtype=torch.int32)	7	1	0:01:19.386399
162	tensor([8], dtype=torch.int32)	8	1	0:01:17.808269
163	tensor([8], dtype=torch.int32)	8	1	0:01:20.792404
164	tensor([1], dtype=torch.int32)	1	1	0:01:21.200760
165	tensor([1], dtype=torch.int32)	1	1	0:01:23.918890
166	tensor([5], dtype=torch.int32)	8	0	0:01:23.651717
167	tensor([6], dtype=torch.int32)	6	1	0:01:21.482982
168	tensor([4], dtype=torch.int32)	6	0	0:01:22.477054
169	tensor([3], dtype=torch.int32)	6	0	0:01:25.075614
170	tensor([9], dtype=torch.int32)	8	0	0:01:23.603073
171	tensor([4], dtype=torch.int32)	4	1	0:01:27.099632
172	tensor([8], dtype=torch.int32)	8	1	0:01:23.760331
173	tensor([1], dtype=torch.int32)	1	1	0:01:23.715100
174	tensor([4], dtype=torch.int32)	4	1	0:01:21.478151
175	tensor([6], dtype=torch.int32)	6	1	0:01:22.727766
176	tensor([1], dtype=torch.int32)	1	1	0:01:22.463294
177	tensor([9], dtype=torch.int32)	9	1	0:01:20.993616
178	tensor([2], dtype=torch.int32)	-1	0	0:01:23.386010
179	tensor([3], dtype=torch.int32)	3	1	0:01:20.774625
180	tensor([3], dtype=torch.int32)	3	1	0:01:21.622495
181	tensor([0], dtype=torch.int32)	0	1	0:01:22.107909
182	tensor([6], dtype=torch.int32)	6	1	0:01:20.417697
183	tensor([2], dtype=torch.int32)	4	0	0:01:18.168079
184	tensor([6], dtype=torch.int32)	6	1	0:01:18.730914
185	tensor([9], dtype=torch.int32)	5	0	0:01:19.231537
186	tensor([0], dtype=torch.int32)	7	0	0:01:20.561349
187	tensor([2], dtype=torch.int32)	-1	0	0:01:21.868030
188	tensor([7], dtype=torch.int32)	7	1	0:01:21.276492
189	tensor([3], dtype=torch.int32)	2	0	0:01:21.399685
190	tensor([7], dtype=torch.int32)	7	1	0:01:18.322603
191	tensor([3], dtype=torch.int32)	-1	0	0:01:17.462066
192	tensor([8], dtype=torch.int32)	8	1	0:01:22.992514
193	tensor([9], dtype=torch.int32)	9	1	0:01:21.938575
194	tensor([3], dtype=torch.int32)	3	1	0:01:20.947406
195	tensor([6], dtype=torch.int32)	6	1	0:01:21.166927
196	tensor([8], dtype=torch.int32)	8	1	0:01:22.227723
197	tensor([3], dtype=torch.int32)	3	1	0:01:20.194769
198	tensor([8], dtype=torch.int32)	8	1	0:01:19.744114
199	tensor([9], dtype=torch.int32)	9	1	0:01:25.412874
200	tensor([6], dtype=torch.int32)	6	1	0:01:21.918498
201	tensor([0], dtype=torch.int32)	0	1	0:01:20.322219
202	tensor([1], dtype=torch.int32)	1	1	0:02:30.037617
203	tensor([2], dtype=torch.int32)	2	1	0:02:43.409752
204	tensor([9], dtype=torch.int32)	9	1	0:02:42.450405
205	tensor([5], dtype=torch.int32)	6	0	0:02:39.488791
206	tensor([0], dtype=torch.int32)	0	1	0:02:43.663904
207	tensor([0], dtype=torch.int32)	0	1	0:02:42.440104
208	tensor([5], dtype=torch.int32)	5	1	0:02:45.670267
209	tensor([8], dtype=torch.int32)	8	1	0:02:42.953979
210	tensor([3], dtype=torch.int32)	8	0	0:02:44.991992
211	tensor([7], dtype=torch.int32)	7	1	0:02:48.983328
212	tensor([5], dtype=torch.int32)	5	1	0:03:15.534509
213	tensor([7], dtype=torch.int32)	7	1	0:02:02.896237
214	tensor([7], dtype=torch.int32)	7	1	0:02:47.176274
215	tensor([8], dtype=torch.int32)	8	1	0:01:54.249121
216	tensor([5], dtype=torch.int32)	5	1	0:02:25.894750
217	tensor([7], dtype=torch.int32)	7	1	0:02:32.549977
218	tensor([2], dtype=torch.int32)	2	1	0:06:00.106529
219	tensor([7], dtype=torch.int32)	7	1	0:05:17.392634
220	tensor([0], dtype=torch.int32)	0	1	0:06:01.973397
221	tensor([8], dtype=torch.int32)	8	1	0:02:25.243437
222	tensor([0], dtype=torch.int32)	7	0	0:01:54.307216
223	tensor([9], dtype=torch.int32)	9	1	0:01:17.148958
224	tensor([5], dtype=torch.int32)	7	0	0:02:03.283051
225	tensor([7], dtype=torch.int32)	7	1	0:02:27.884992
226	tensor([7], dtype=torch.int32)	6	0	0:03:04.464078
227	tensor([6], dtype=torch.int32)	6	1	0:03:38.131545
228	tensor([8], dtype=torch.int32)	8	1	0:02:09.641345
229	tensor([5], dtype=torch.int32)	5	1	0:01:24.254882
230	tensor([5], dtype=torch.int32)	8	0	0:02:13.291220
231	tensor([6], dtype=torch.int32)	6	1	0:01:53.997293
232	tensor([9], dtype=torch.int32)	7	0	0:06:08.709270
233	tensor([0], dtype=torch.int32)	0	1	0:04:02.418966
234	tensor([7], dtype=torch.int32)	7	1	0:02:05.221699
235	tensor([5], dtype=torch.int32)	5	1	0:12:33.716447
236	tensor([9], dtype=torch.int32)	9	1	0:04:14.949561
237	tensor([4], dtype=torch.int32)	4	1	0:03:50.297270
238	tensor([4], dtype=torch.int32)	8	0	0:11:20.168145
239	tensor([2], dtype=torch.int32)	2	1	0:08:01.627889
240	tensor([8], dtype=torch.int32)	8	1	0:03:32.771537
241	tensor([6], dtype=torch.int32)	6	1	0:01:15.410585
242	tensor([1], dtype=torch.int32)	1	1	0:03:10.390155
243	tensor([0], dtype=torch.int32)	0	1	0:02:41.105471
244	tensor([2], dtype=torch.int32)	2	1	0:08:38.698241
245	tensor([7], dtype=torch.int32)	7	1	0:04:04.261824
246	tensor([8], dtype=torch.int32)	8	1	0:08:21.917991
247	tensor([6], dtype=torch.int32)	6	1	0:04:27.189603
248	tensor([5], dtype=torch.int32)	4	0	0:08:02.923914
249	tensor([2], dtype=torch.int32)	2	1	0:04:32.260436
